student_id,subject_id,mark
94048,565,27
7659,113,85
14093,209,30
48598,451,29
46965,200,99
84605,968,73
5759,126,72
14460,599,50
4808,998,90
45376,653,22
42288,111,77
26763,159,71
58938,586,14
59441,843,1
6285,771,50
25680,339,64
3842,582,9
71051,473,7
40648,342,6
22272,79,20
40073,488,98
87744,375,67
2278,311,48
40189,260,82
14313,214,11
66430,373,9
24677,709,35
87019,871,56
51626,949,3
36706,926,9
49584,511,38
74299,107,86
13305,688,9
48199,946,85
24426,778,75
94715,496,35
40665,34,24
81431,513,72
33379,529,92
46552,928,33
31035,97,21
98537,891,87
8188,37,35
98162,976,27
61225,301,85
10773,92,11
61582,20,59
63324,334,67
28371,982,78
4851,214,18
39608,205,35
78387,385,73
87191,353,90
67557,910,14
37718,430,75
63499,514,66
61875,242,41
30889,446,33
70202,976,41
92882,3,10
82898,868,85
95653,776,62
49488,227,56
98036,754,19
43843,705,87
21343,203,57
4391,770,32
16569,806,79
87313,950,86
65040,807,96
80487,869,24
7218,807,5
18715,600,80
25988,408,94
68049,864,5
97685,604,56
12400,499,39
37382,159,68
94083,23,6
98122,7,90
97377,688,25
76194,112,50
11824,631,64
68913,613,39
31891,636,82
64134,302,75
82158,270,38
74359,152,40
59382,646,18
30593,50,73
7517,181,69
83209,572,14
18502,569,35
93359,346,95
88015,511,10
7910,738,33
3950,639,26
24815,712,62
16544,822,27
66542,116,92
20175,69,89
57350,508,92
56524,747,48
63795,72,94
82083,476,31
50108,233,5
32997,855,31
14891,666,78
48955,363,55
52610,10,29
48344,69,64
15490,864,45
38167,372,58
53625,332,25
69799,967,69
44744,772,39
12372,933,77
94876,809,80
77381,535,28
40377,211,95
39522,555,45
349,569,42
78982,956,2
93246,129,64
51384,997,60
61204,182,97
33374,717,96
43262,593,23
34458,674,26
87284,619,57
4876,172,42
19460,980,87
24761,129,54
90493,491,74
46532,994,29
25827,951,20
19390,592,56
95385,686,24
51906,802,31
10891,330,30
55247,171,37
97445,761,70
44805,533,11
35711,483,63
6678,842,96
50014,438,30
97951,394,46
6921,281,5
62338,362,92
90141,393,66
76987,918,82
98973,734,11
77474,704,28
84229,725,83
84779,711,95
49681,112,71
74465,82,49
33805,715,86
23661,272,11
75539,612,83
80703,56,86
34905,439,65
64944,332,72
19321,796,15
46048,254,56
62114,358,32
55920,512,64
18197,820,89
32529,55,5
58666,717,62
35726,163,86
47930,786,85
48310,409,5
30381,165,38
52547,948,92
3885,84,15
23960,878,94
55499,244,96
65245,986,16
54433,295,38
7304,931,71
37240,31,92
67219,674,39
7827,213,30
2336,395,12
11799,233,89
85431,242,90
81761,708,77
6553,114,19
21740,492,62
31137,189,2
97819,372,45
948,495,2
25755,365,68
7576,28,57
92154,161,11
85088,419,9
30809,303,39
56434,365,15
64601,259,83
70861,180,4
8713,889,18
32885,651,94
12049,623,21
63289,489,55
82470,790,13
85124,905,0
34267,798,39
31626,9,79
46233,613,21
80720,751,65
31416,78,31
59822,186,84
24244,270,21
99309,228,20
46352,819,74
56940,774,22
30774,741,25
49457,910,78
73314,79,9
72352,715,43
13404,370,96
89624,555,17
95786,639,94
89460,581,68
705,115,58
93250,497,26
22504,688,38
90533,67,49
16289,404,29
58256,520,9
11771,527,83
8528,623,26
31261,908,64
78895,930,82
33304,727,5
25152,380,32
85120,236,81
87025,35,32
53290,68,87
80296,493,26
59094,438,54
83159,368,74
60040,384,85
27667,25,85
47272,295,86
5282,179,1
24072,783,8
44289,347,70
22047,83,19
29912,18,74
45878,820,64
5445,351,38
99291,965,97
45496,867,52
4453,827,38
34427,576,17
27668,354,5
63675,20,41
