subject_name,tutor_id
Latin,476
Physical Education,17
American Literature,760
Physical Education,589
Spanish,33
French,910
Physical Education,663
Economics,990
French,529
English IV,901
Physical Education,856
Instrumental Music,539
Basic Math,829
Trigonometry,923
Basic Math,243
French,249
History,133
Ancient Civilizations,142
Art,213
LOGIC,932
Health,108
Modern Literature,801
Art,84
Design and technology,766
Ancient Civilizations,549
Dramatics,278
Geography,932
Resource Program,158
Design and technology,129
Sociology,512
Resource Program,103
English IV,372
Grammar,262
Grammar,46
French,491
Grammar,665
Dramatics,650
Instrumental Music,371
Modern Literature,817
Physical Education,392
Geography,207
Mathematics,725
Latin,456
Basic Math,419
Art,462
Handwriting,802
Accounting,32
Resource Program,349
Language Arts,273
French,211
Modern Literature,408
Music,627
Spanish,8
Trigonometry,283
Earth Science,793
English IV,483
Language Arts,125
Basic Math,462
Mathematics,382
Design and technology,467
Resource Program,803
Dramatics,508
Health,77
Trigonometry,766
Music,58
Leadership,515
Trigonometry,416
Art,788
Dramatics,490
Accounting,338
German,754
Trigonometry,635
Art,277
Health,396
Earth Science,452
Latin,820
Instrumental Music,697
Ancient Civilizations,455
Spanish,586
Earth Science,252
Science,327
Science,464
Music,733
Geography,752
English IV,725
Art,660
Modern Literature,741
Accounting,218
German,604
Science,12
Health,63
Basic Math,333
Science,292
Instrumental Music,199
Latin,85
Sociology,30
Science,476
Handwriting,948
Music,347
Spanish,911
French,341
Health,598
Instrumental Music,923
Geography,93
Economics,241
LOGIC,668
Earth Science,870
Sociology,927
Art,988
German,460
French,107
Health,135
Health,733
Sociology,33
Instrumental Music,422
LOGIC,266
Health,707
Health,11
Economics,521
Ancient Civilizations,158
Sociology,339
Latin,110
Ancient Civilizations,627
German,50
Earth Science,19
Latin,119
Spanish,367
Instrumental Music,857
Sociology,973
LOGIC,609
Spanish,286
Health,609
Art,158
Latin,903
LOGIC,724
Ancient Civilizations,584
Resource Program,972
American Literature,577
Art,251
Ecology,537
Health,636
Handwriting,833
Basic Math,983
Spanish,888
LOGIC,465
Modern Literature,600
Design and technology,518
LOGIC,528
Language Arts,982
Latin,455
Accounting,299
Basic Math,142
Physical Education,129
American Literature,765
Instrumental Music,808
Dramatics,699
Physical Education,181
Art,877
Physical Education,367
Trigonometry,77
History,112
Physical Education,823
American Literature,494
Geography,960
Physical Education,392
Dramatics,45
Instrumental Music,783
Science,359
Ecology,580
Accounting,158
Science,110
Geography,244
Grammar,600
Ancient Civilizations,939
Speech,419
German,104
Spanish,681
English IV,286
Economics,201
Speech,368
German,701
Mathematics,195
Grammar,809
Design and technology,198
Resource Program,479
Music,748
Sociology,408
Latin,191
LOGIC,672
Science,705
Earth Science,426
French,283
Music,688
English IV,453
Ecology,762
German,846
Science,536
Economics,845
Design and technology,317
Physical Education,849
Ancient Civilizations,598
Economics,343
Health,952
Health,940
Ecology,475
Trigonometry,253
Ecology,94
Latin,627
Ancient Civilizations,85
Ecology,400
English IV,419
Physical Education,662
Trigonometry,85
Sociology,752
Earth Science,52
LOGIC,433
Resource Program,821
Leadership,93
Geography,870
Basic Math,592
Language Arts,872
Art,884
Ecology,663
Language Arts,272
Design and technology,39
Grammar,409
Design and technology,79
Physical Education,966
Design and technology,828
History,459
Sociology,134
Spanish,617
Modern Literature,790
Physical Education,388
Handwriting,858
Language Arts,88
Ecology,758
French,378
French,926
Art,880
Instrumental Music,302
Accounting,802
Speech,956
English IV,392
